Event,QualiSegment,SessionMedianLap,CircuitName,Country,TrackType,LapSpeedClass,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,AirTemp,TrackTemp,WindSpeed,Altitude_m,DRSZones
70th Anniversary Grand Prix,Q1,88.53999999999999,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
70th Anniversary Grand Prix,Q2,87.6845,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
70th Anniversary Grand Prix,Q3,86.896,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
Abu Dhabi Grand Prix,Q1,86.5,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Abu Dhabi Grand Prix,Q2,85.916,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Abu Dhabi Grand Prix,Q3,84.9345,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Australian Grand Prix,Q1,83.32050000000001,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Australian Grand Prix,Q2,82.532,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Australian Grand Prix,Q3,80.6465,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Austrian Grand Prix,Q1,66.282,Red Bull Ring,Austria,Permanent,Fast,316.0,245.0,285.0,314.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,25.9,48.4,1.1,700.0,2.0
Austrian Grand Prix,Q2,65.6885,Red Bull Ring,Austria,Permanent,Fast,316.0,245.0,285.0,314.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,25.9,48.4,1.1,700.0,2.0
Austrian Grand Prix,Q3,65.3655,Red Bull Ring,Austria,Permanent,Fast,316.0,245.0,285.0,314.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,25.9,48.4,1.1,700.0,2.0
Azerbaijan Grand Prix,Q1,105.449,Baku City,Azerbaijan,Street,Fast,217.0,229.0,331.0,312.0,4978.250124294395,20.0,0.0040174759203837,246.1587014542076,24.5,36.4,0.8,28.0,2.0
Azerbaijan Grand Prix,Q2,103.76599999999999,Baku City,Azerbaijan,Street,Fast,217.0,229.0,331.0,312.0,4978.250124294395,20.0,0.0040174759203837,246.1587014542076,24.5,36.4,0.8,28.0,2.0
Azerbaijan Grand Prix,Q3,102.936,Baku City,Azerbaijan,Street,Fast,217.0,229.0,331.0,312.0,4978.250124294395,20.0,0.0040174759203837,246.1587014542076,24.5,36.4,0.8,28.0,2.0
Bahrain Grand Prix,Q1,91.8835,Bahrain International,Bahrain,Permanent,Medium,242.0,270.0,288.0,317.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.3,27.8,1.0,35.0,2.0
Bahrain Grand Prix,Q2,91.13900000000001,Bahrain International,Bahrain,Permanent,Medium,242.0,270.0,288.0,317.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.3,27.8,1.0,35.0,2.0
Bahrain Grand Prix,Q3,90.345,Bahrain International,Bahrain,Permanent,Medium,242.0,270.0,288.0,317.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.3,27.8,1.0,35.0,2.0
Belgian Grand Prix,Q1,121.1835,Spa-Francorchamps,Belgium,Permanent,Fast,314.0,185.0,214.0,303.0,6775.131165030146,19.0,0.0028043737511782,354.919340043483,17.9,22.3,1.1,300.0,2.0
Belgian Grand Prix,Q2,117.234,Spa-Francorchamps,Belgium,Permanent,Fast,314.0,185.0,214.0,303.0,6775.131165030146,19.0,0.0028043737511782,354.919340043483,17.9,22.3,1.1,300.0,2.0
Belgian Grand Prix,Q3,114.9025,Spa-Francorchamps,Belgium,Permanent,Fast,314.0,185.0,214.0,303.0,6775.131165030146,19.0,0.0028043737511782,354.919340043483,17.9,22.3,1.1,300.0,2.0
Brazilian Grand Prix,Q1,70.3995,Interlagos,Brazil,Permanent,Medium,324.0,267.0,323.0,325.0,4309.0,15.0,0.0034810860988628,287.26666666666665,20.5,35.1,1.5,800.0,2.0
Brazilian Grand Prix,Q2,69.175,Interlagos,Brazil,Permanent,Medium,324.0,267.0,323.0,325.0,4309.0,15.0,0.0034810860988628,287.26666666666665,20.5,35.1,1.5,800.0,2.0
Brazilian Grand Prix,Q3,68.854,Interlagos,Brazil,Permanent,Medium,324.0,267.0,323.0,325.0,4309.0,15.0,0.0034810860988628,287.26666666666665,20.5,35.1,1.5,800.0,2.0
British Grand Prix,Q1,98.07650000000001,Silverstone,UK,Permanent,Fast,301.0,255.0,248.0,299.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,19.0,21.8,2.4,140.0,2.0
British Grand Prix,Q2,94.05,Silverstone,UK,Permanent,Fast,301.0,255.0,248.0,299.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,19.0,21.8,2.4,140.0,2.0
British Grand Prix,Q3,91.945,Silverstone,UK,Permanent,Fast,301.0,255.0,248.0,299.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,19.0,21.8,2.4,140.0,2.0
Canadian Grand Prix,Q1,88.051,Gilles Villeneuve,Canada,Permanent,Medium,232.5,270.0,280.0,300.0,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,16.7,18.8,2.05,22.0,2.0
Canadian Grand Prix,Q2,86.858,Gilles Villeneuve,Canada,Permanent,Medium,232.5,270.0,280.0,300.0,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,16.7,18.8,2.05,22.0,2.0
Canadian Grand Prix,Q3,85.6135,Gilles Villeneuve,Canada,Permanent,Medium,232.5,270.0,280.0,300.0,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,16.7,18.8,2.05,22.0,2.0
Chinese Grand Prix,Q1,95.6595,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Chinese Grand Prix,Q2,94.886,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Chinese Grand Prix,Q3,94.368,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Dutch Grand Prix,Q1,82.8275,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Dutch Grand Prix,Q2,80.1905,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Dutch Grand Prix,Q3,79.124,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Eifel Grand Prix,Q1,88.52250000000001,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Eifel Grand Prix,Q2,87.816,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Eifel Grand Prix,Q3,86.7595,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Emilia Romagna Grand Prix,Q1,80.732,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
Emilia Romagna Grand Prix,Q2,76.562,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
Emilia Romagna Grand Prix,Q3,76.01400000000001,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
French Grand Prix,Q1,93.696,Paul Ricard,France,Permanent,Fast,118.0,280.0,300.0,328.0,5247.8799638259,15.0,0.0028582970844219,343.1152226897838,29.1,54.0,1.6,40.0,3.0
French Grand Prix,Q2,92.998,Paul Ricard,France,Permanent,Fast,118.0,280.0,300.0,328.0,5247.8799638259,15.0,0.0028582970844219,343.1152226897838,29.1,54.0,1.6,40.0,3.0
French Grand Prix,Q3,91.661,Paul Ricard,France,Permanent,Fast,118.0,280.0,300.0,328.0,5247.8799638259,15.0,0.0028582970844219,343.1152226897838,29.1,54.0,1.6,40.0,3.0
German Grand Prix,Q1,75.032,Hockenheimring,Germany,Permanent,Medium,217.0,265.0,270.0,323.0,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,28.2,43.7,1.1,100.0,2.0
German Grand Prix,Q2,73.278,Hockenheimring,Germany,Permanent,Medium,217.0,265.0,270.0,323.0,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,28.2,43.7,1.1,100.0,2.0
German Grand Prix,Q3,73.065,Hockenheimring,Germany,Permanent,Medium,217.0,265.0,270.0,323.0,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,28.2,43.7,1.1,100.0,2.0
Hungarian Grand Prix,Q1,79.049,Hungaroring,Hungary,Permanent,Slow,280.0,250.0,257.0,302.0,4122.248439558155,14.0,0.0033962048152295,230.29459504961537,24.1,31.0,1.4,150.0,1.0
Hungarian Grand Prix,Q2,78.3725,Hungaroring,Hungary,Permanent,Slow,280.0,250.0,257.0,302.0,4122.248439558155,14.0,0.0033962048152295,230.29459504961537,24.1,31.0,1.4,150.0,1.0
Hungarian Grand Prix,Q3,77.4795,Hungaroring,Hungary,Permanent,Slow,280.0,250.0,257.0,302.0,4122.248439558155,14.0,0.0033962048152295,230.29459504961537,24.1,31.0,1.4,150.0,1.0
Italian Grand Prix,Q1,82.8355,Monza,Italy,Permanent,Fast,320.5,333.0,311.0,339.0,5261.551646812222,11.0,0.0020906380357711,436.9389384616605,27.9,40.4,1.1,120.0,2.0
Italian Grand Prix,Q2,81.775,Monza,Italy,Permanent,Fast,320.5,333.0,311.0,339.0,5261.551646812222,11.0,0.0020906380357711,436.9389384616605,27.9,40.4,1.1,120.0,2.0
Italian Grand Prix,Q3,80.803,Monza,Italy,Permanent,Fast,320.5,333.0,311.0,339.0,5261.551646812222,11.0,0.0020906380357711,436.9389384616605,27.9,40.4,1.1,120.0,2.0
Japanese Grand Prix,Q1,91.181,Suzuka,Japan,Permanent,Fast,280.0,302.0,265.0,301.0,5650.500064177964,18.0,0.0031855587639248,289.1514270568326,20.1,27.7,3.2,50.0,2.0
Japanese Grand Prix,Q2,90.5635,Suzuka,Japan,Permanent,Fast,280.0,302.0,265.0,301.0,5650.500064177964,18.0,0.0031855587639248,289.1514270568326,20.1,27.7,3.2,50.0,2.0
Japanese Grand Prix,Q3,89.787,Suzuka,Japan,Permanent,Fast,280.0,302.0,265.0,301.0,5650.500064177964,18.0,0.0031855587639248,289.1514270568326,20.1,27.7,3.2,50.0,2.0
Las Vegas Grand Prix,Q1,104.975,Las Vegas,USA,Street,Fast,183.0,210.0,319.0,333.0,6353.0,14.0,0.0022036832992287,453.7857142857143,14.7,16.7,0.8,600.0,2.0
Las Vegas Grand Prix,Q2,96.31,Las Vegas,USA,Street,Fast,183.0,210.0,319.0,333.0,6353.0,14.0,0.0022036832992287,453.7857142857143,14.7,16.7,0.8,600.0,2.0
Las Vegas Grand Prix,Q3,94.987,Las Vegas,USA,Street,Fast,183.0,210.0,319.0,333.0,6353.0,14.0,0.0022036832992287,453.7857142857143,14.7,16.7,0.8,600.0,2.0
Mexican Grand Prix,Q1,79.547,Hermanos Rodriguez,Mexico,Permanent,Medium,318.0,298.0,255.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,20.7,37.2,1.1,2240.0,2.0
Mexican Grand Prix,Q2,77.617,Hermanos Rodriguez,Mexico,Permanent,Medium,318.0,298.0,255.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,20.7,37.2,1.1,2240.0,2.0
Mexican Grand Prix,Q3,77.065,Hermanos Rodriguez,Mexico,Permanent,Medium,318.0,298.0,255.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,20.7,37.2,1.1,2240.0,2.0
Mexico City Grand Prix,Q1,80.80199999999999,Hermanos Rodriguez,Mexico,Permanent,Medium,313.0,294.0,252.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,23.799999999999997,45.4,0.9,2240.0,2.0
Mexico City Grand Prix,Q2,79.194,Hermanos Rodriguez,Mexico,Permanent,Medium,313.0,294.0,252.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,23.799999999999997,45.4,0.9,2240.0,2.0
Mexico City Grand Prix,Q3,77.901,Hermanos Rodriguez,Mexico,Permanent,Medium,313.0,294.0,252.0,345.0,4309.0,17.0,0.0039452309120445,253.4705882352941,23.799999999999997,45.4,0.9,2240.0,2.0
Miami Grand Prix,Q1,91.325,Miami,USA,Street,Medium,220.0,191.0,283.0,332.0,5412.0,19.0,0.003510716925351,284.8421052631579,29.1,47.2,2.5,3.0,3.0
Miami Grand Prix,Q2,90.407,Miami,USA,Street,Medium,220.0,191.0,283.0,332.0,5412.0,19.0,0.003510716925351,284.8421052631579,29.1,47.2,2.5,3.0,3.0
Miami Grand Prix,Q3,88.998,Miami,USA,Street,Medium,220.0,191.0,283.0,332.0,5412.0,19.0,0.003510716925351,284.8421052631579,29.1,47.2,2.5,3.0,3.0
Monaco Grand Prix,Q1,75.295,Monaco,Monaco,Street,Slow,214.0,198.0,270.0,279.0,2982.89347053333,19.0,0.0063696542259026,155.08342582215062,21.5,44.6,0.6,10.0,1.0
Monaco Grand Prix,Q2,73.667,Monaco,Monaco,Street,Slow,214.0,198.0,270.0,279.0,2982.89347053333,19.0,0.0063696542259026,155.08342582215062,21.5,44.6,0.6,10.0,1.0
Monaco Grand Prix,Q3,73.241,Monaco,Monaco,Street,Slow,214.0,198.0,270.0,279.0,2982.89347053333,19.0,0.0063696542259026,155.08342582215062,21.5,44.6,0.6,10.0,1.0
Portuguese Grand Prix,Q1,80.923,Portimao,Portugal,Permanent,Medium,276.0,253.0,272.0,311.0,4653.0,15.0,0.0032237266279819,310.2,20.6,35.7,0.8,90.0,1.0
Portuguese Grand Prix,Q2,79.7835,Portimao,Portugal,Permanent,Medium,276.0,253.0,272.0,311.0,4653.0,15.0,0.0032237266279819,310.2,20.6,35.7,0.8,90.0,1.0
Portuguese Grand Prix,Q3,79.8445,Portimao,Portugal,Permanent,Medium,276.0,253.0,272.0,311.0,4653.0,15.0,0.0032237266279819,310.2,20.6,35.7,0.8,90.0,1.0
Qatar Grand Prix,Q1,86.904,Losail,Qatar,Permanent,Medium,245.0,281.0,282.0,317.0,5380.0,16.0,0.0029739776951672,336.25,25.9,29.0,2.2,20.0,2.0
Qatar Grand Prix,Q2,85.707,Losail,Qatar,Permanent,Medium,245.0,281.0,282.0,317.0,5380.0,16.0,0.0029739776951672,336.25,25.9,29.0,2.2,20.0,2.0
Qatar Grand Prix,Q3,84.41900000000001,Losail,Qatar,Permanent,Medium,245.0,281.0,282.0,317.0,5380.0,16.0,0.0029739776951672,336.25,25.9,29.0,2.2,20.0,2.0
Russian Grand Prix,Q1,112.4255,Sochi Autodrom,Russia,Permanent,Medium,252.0,297.5,147.0,297.0,5760.2985642132535,18.0,0.0031248380269432,312.85365949038703,14.2,16.7,0.6,5.0,2.0
Russian Grand Prix,Q2,107.828,Sochi Autodrom,Russia,Permanent,Medium,252.0,297.5,147.0,297.0,5760.2985642132535,18.0,0.0031248380269432,312.85365949038703,14.2,16.7,0.6,5.0,2.0
Russian Grand Prix,Q3,105.834,Sochi Autodrom,Russia,Permanent,Medium,252.0,297.5,147.0,297.0,5760.2985642132535,18.0,0.0031248380269432,312.85365949038703,14.2,16.7,0.6,5.0,2.0
Sakhir Grand Prix,Q1,55.558,Bahrain International,Bahrain,Permanent,Medium,288.0,269.0,296.0,323.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.0,26.9,0.5,35.0,2.0
Sakhir Grand Prix,Q2,54.9065,Bahrain International,Bahrain,Permanent,Medium,288.0,269.0,296.0,323.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.0,26.9,0.5,35.0,2.0
Sakhir Grand Prix,Q3,54.3905,Bahrain International,Bahrain,Permanent,Medium,288.0,269.0,296.0,323.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.0,26.9,0.5,35.0,2.0
Saudi Arabian Grand Prix,Q1,90.802,Jeddah,Saudi Arabia,Street,Fast,287.0,316.0,303.0,321.0,6174.0,27.0,0.0043731778425655,228.66666666666663,26.8,30.9,1.3,15.0,3.0
Saudi Arabian Grand Prix,Q2,90.009,Jeddah,Saudi Arabia,Street,Fast,287.0,316.0,303.0,321.0,6174.0,27.0,0.0043731778425655,228.66666666666663,26.8,30.9,1.3,15.0,3.0
Saudi Arabian Grand Prix,Q3,89.411,Jeddah,Saudi Arabia,Street,Fast,287.0,316.0,303.0,321.0,6174.0,27.0,0.0043731778425655,228.66666666666663,26.8,30.9,1.3,15.0,3.0
Singapore Grand Prix,Q1,100.867,Marina Bay,Singapore,Street,Slow,308.0,277.0,255.0,299.0,4956.5492831458605,23.0,0.0046403250903221,206.4655635414754,29.4,32.3,1.3,10.0,1.0
Singapore Grand Prix,Q2,99.439,Marina Bay,Singapore,Street,Slow,308.0,277.0,255.0,299.0,4956.5492831458605,23.0,0.0046403250903221,206.4655635414754,29.4,32.3,1.3,10.0,1.0
Singapore Grand Prix,Q3,99.001,Marina Bay,Singapore,Street,Slow,308.0,277.0,255.0,299.0,4956.5492831458605,23.0,0.0046403250903221,206.4655635414754,29.4,32.3,1.3,10.0,1.0
Spanish Grand Prix,Q1,78.7205,Barcelona-Catalunya,Spain,Permanent,Medium,287.0,301.0,286.0,320.0,4348.990357163425,16.0,0.003679014825509,234.62367931817408,24.1,36.9,1.9,110.0,1.0
Spanish Grand Prix,Q2,77.886,Barcelona-Catalunya,Spain,Permanent,Medium,287.0,301.0,286.0,320.0,4348.990357163425,16.0,0.003679014825509,234.62367931817408,24.1,36.9,1.9,110.0,1.0
Spanish Grand Prix,Q3,77.1755,Barcelona-Catalunya,Spain,Permanent,Medium,287.0,301.0,286.0,320.0,4348.990357163425,16.0,0.003679014825509,234.62367931817408,24.1,36.9,1.9,110.0,1.0
Styrian Grand Prix,Q1,82.7365,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
Styrian Grand Prix,Q2,81.223,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
Styrian Grand Prix,Q3,81.741,Red Bull Ring,Austria,Permanent,Fast,288.0,209.0,263.0,289.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,15.1,19.9,1.6,700.0,2.0
São Paulo Grand Prix,Q1,80.622,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
São Paulo Grand Prix,Q2,79.51599999999999,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
São Paulo Grand Prix,Q3,78.503,Interlagos,Brazil,Permanent,Medium,302.0,237.0,306.5,297.0,4309.0,15.0,0.0034810860988628,287.26666666666665,19.2,27.0,0.7,800.0,2.0
Turkish Grand Prix,Q1,104.023,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Turkish Grand Prix,Q2,113.8015,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Turkish Grand Prix,Q3,112.0365,Istanbul Park,Turkey,Permanent,Fast,276.0,253.0,272.0,311.0,5338.0,14.0,0.0026227051330086,381.2857142857143,18.3,21.5,0.6,130.0,1.0
Tuscan Grand Prix,Q1,77.357,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
Tuscan Grand Prix,Q2,77.069,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
Tuscan Grand Prix,Q3,76.43299999999999,Mugello,Italy,Permanent,Fast,276.0,253.0,272.0,311.0,5245.0,15.0,0.0028598665395614,349.6666666666667,29.4,44.9,2.5,255.0,1.0
United States Grand Prix,Q1,96.59100000000001,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
United States Grand Prix,Q2,95.773,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
United States Grand Prix,Q3,94.877,COTA,USA,Permanent,Fast,232.0,190.0,210.0,321.0,5337.916050454483,20.0,0.0037467805433727,246.57822310725783,29.4,36.8,1.6,230.0,3.0
